iter	Passed	Remaining
0	12	1197
1	20	996
2	27	902
3	34	824
4	42	804
5	49	771
6	56	751
7	63	728
8	72	736
9	81	731
10	91	737
11	100	734
12	111	745
13	123	760
14	136	775
15	147	775
16	161	788
17	175	797
18	190	813
19	204	817
20	226	851
21	243	862
22	259	869
23	275	872
24	292	876
25	307	875
26	322	871
27	335	863
28	348	853
29	361	843
30	374	832
31	386	821
32	396	804
33	408	792
34	418	777
35	428	761
36	438	745
37	447	730
38	457	715
39	467	700
40	477	687
41	487	673
42	498	660
43	509	648
44	519	634
45	529	621
46	540	609
47	550	596
48	559	582
49	570	570
50	580	557
51	590	544
52	601	533
53	612	521
54	628	514
55	641	504
56	652	492
57	663	480
58	674	468
59	684	456
60	693	443
61	704	431
62	716	420
63	724	407
64	735	396
65	746	384
66	756	372
67	767	361
68	777	349
69	787	337
70	798	326
71	808	314
72	819	303
73	828	291
74	839	279
75	853	269
76	863	257
77	873	246
78	885	235
79	894	223
80	901	211
81	911	200
82	920	188
83	929	177
84	940	165
85	949	154
86	958	143
87	966	131
88	974	120
89	984	109
90	994	98
91	1004	87
92	1013	76
93	1022	65
94	1030	54
95	1038	43
96	1070	33
97	1106	22
98	1132	11
99	1223	0
